ID,vi,surfaceTension,radius,cTime,maxDeflection
4348,-0.64,72,1,2.3,0.41572
5511,-0.476,67,0.35,0.445,0.0657
545,-0.642,67,1.75,4.8,1.00243
556,-0.556,67,2.78,9.24,1.6866
605,-0.476,68,0.35,0.4425,0.06523
1736,-0.642,68,1.75,4.76,0.99529
1747,-0.556,68,2.78,9.16,1.67371
1755,-0.476,69,0.35,0.44,0.06489
2916,-0.642,69,1.75,4.72,0.98787
2928,-0.556,69,2.78,9.08,1.66113
2935,-0.476,70,0.35,0.4375,0.06455
4033,-0.642,70,1.75,4.7,0.98286
4045,-0.856,70,2.38,9.04,1.64883
4053,-0.476,71,0.35,0.435,0.06411
5143,-0.642,71,1.75,4.68,0.97583
5154,-0.556,71,2.78,8.96,1.63681
5202,-0.476,72,0.35,0.435,0.06379
303,-0.642,72,1.75,4.64,0.9692
314,-0.556,72,2.78,8.88,1.6277
321,-0.476,73,0.35,0.4325,0.06347
2607,-0.642,73,1.75,4.6,0.96252
2634,-0.556,73,2.78,8.84,1.61675
1119,-0.639,72,1.75,4.64,0.96355
1544,-0.639,72,1.75,4.64,0.96355
1954,-0.639,72,1.75,4.595,0.94314
2420,-0.639,72,1.75,4.64,0.96355
1748,-0.639,72,1.75,4.64,0.96279
24,-0.637,72,2.78,8.74,1.84544
411,-0.637,72,2.78,8.7,1.83703
3443,-0.637,72,2.78,8.7,1.83703
4003,-0.637,72,2.78,8.72,1.83766
4502,-0.635,72,1.75,4.62,0.95894
4558,-0.635,72,1.75,4.62,0.95894
3633,-0.635,72,1.75,4.64,0.96026
5836,-0.635,72,1.75,4.65,0.95539
