maxDef,vi,radius
0.06862745098,0.09850746269,0.795
0.1862745098,0.2985074627,0.795
0.2941176471,0.4955223881,0.795
0.4607843137,0.7970149254,0.795
0.568627451,0.9940298507,0.795
0.6568627451,1.194029851,0.795
0,0.1432835821,0.35
0.03921568627,0.4776119403,0.35
0.1078431373,0.6925373134,0.35
0.09803921569,0.8746268657,0.35
0.137254902,1.023880597,0.35
0.09803921569,1.194029851,0.35
0.4215686275,0.1970149254,1.75
0.568627451,0.3402985075,1.75
0.862745098,0.5492537313,1.75
1.18627451,0.7791044776,1.75
1.18627451,0.952238806,1.75
1.539215686,1.176119403,1.75
0.8725490196,0.2417910448,2.78
1.088235294,0.3611940299,2.78
1.5,0.5134328358,2.78
1.764705882,0.7194029851,2.78
2.029411765,0.8447761194,2.78
2.578431373,1.12238806,2.78
